filename,page,content,confidence
BoothVoterList_A4_Ward_212_Booth_1.pdf,77,"यादी भाग क्र. ६६  : १० -म्यु.घ.नं.९१, मॉर्डन मिल कंपाऊंड चाळ नं.७, केशवराव खाडये मार्ग," ,88
BoothVoterList_A4_Ward_212_Booth_1.pdf,78,"यादी भाग क्र. ६६  : १२ -म्यु.घ.नं.९१, मार्डन मिल कम्पाऊंड चाळ 71.9, केशवराव खाडये मार्ग," ,89
BoothVoterList_A4_Ward_212_Booth_1.pdf,79,"यादी भाग क्र. ६६  : १७ - बेलआगिओ अपार्टमेंट, मौलाना आज़ाद रोड, जेकब सर्कल, मुंबई" ,90
BoothVoterList_A4_Ward_212_Booth_10.pdf,2,"यादी भाग क्र. १५४  : १ -म्यु.घ.नं.७७४ - ७८० दुभाष बिल्डींग बापुराव जगताप रोड भायखळा (प)" ,93
BoothVoterList_A4_Ward_212_Booth_10.pdf,14,"यादी भाग क्र. १५४  : 2 -म्यु.घ.नं.७९० - ७९० ए धनसुखिया चाळ बापुराव जगताप रोड" ,85
BoothVoterList_A4_Ward_212_Booth_10.pdf,16,"यादी भाग क्र. १५४  : 3 -म्यु.घ.नं. ७९० ए दंडूकीया AM मागील झोपडपट्टी बापुराव जगताप रोड" ,89
BoothVoterList_A4_Ward_212_Booth_10.pdf,17,"यादी भाग क्र. १५४  : ४ - म्यु.घ.नं. ७१६ नूर बिल्डिंग बापुराव जगताप रोड" ,86
BoothVoterList_A4_Ward_212_Booth_10.pdf,18,"यादी भाग क्र. १५४  : ५ -म्यु.घ.नं. ७९२ - ८०० नूर बिल्डींग बापुराव जगताप रोड" ,91
BoothVoterList_A4_Ward_212_Booth_10.pdf,20,"यादी भाग क्र. १५४  : ६ -म्यु.घ.नं. ८०२ ते ८०२ अ सौदागर बिल्डींग बापुराव जगताप रोड" ,93
BoothVoterList_A4_Ward_212_Booth_10.pdf,22,"यादी भाग क्र. १५४  : ७ -म्यु.घ.नं. ८०४ सौदागर बिल्डींग बापुराव जगताप रोड" ,94
BoothVoterList_A4_Ward_212_Booth_10.pdf,25,"यादी भाग क्र. १५४  : ८ -म्यु.घ.नं. ८०६ -८०८, रमझान बिल्डींग,बापुराव जगताप रोड," ,92
BoothVoterList_A4_Ward_212_Booth_10.pdf,30,"यादी भाग क्र. 948  : 94 - हिल्टन रेसिडन्सी, बापुराव जगताप मार्ग, मुंबई," ,92
BoothVoterList_A4_Ward_212_Booth_10.pdf,33,"यादी भाग क्र. १५४  : ७ -म्यु.घ.नं. ८०४ सौदागर बिल्डींग बापुराव जगताप रोड" ,94
BoothVoterList_A4_Ward_212_Booth_10.pdf,34,"यादी भाग क्र. १५४  : १ -म्यु.घ.नं.७७४ - ७८० दुभाष बिल्डींग बापुराव जगताप रोड भायखळा (प)" ,93
BoothVoterList_A4_Ward_212_Booth_10.pdf,35,"यादी भाग क्र. 948  : 94 - हिल्टन रेसिडन्सी, बापुराव जगताप मार्ग, मुंबई," ,92
BoothVoterList_A4_Ward_212_Booth_10.pdf,36,"यादी भाग क्र. १५४  : १ -म्यु.घ.नं.७७४ - ७८० दुभाष बिल्डींग बापुराव जगताप रोड भायखळा (प)" ,93
BoothVoterList_A4_Ward_212_Booth_10.pdf,37,"यादी भाग क्र. 948  : 94 - हिल्टन रेसिडन्सी, बापुराव जगताप मार्ग, मुंबई," ,92
BoothVoterList_A4_Ward_212_Booth_10.pdf,38,"यादी भाग क्र. १५४  : १ -म्यु.घ.नं.७७४ - ७८० दुभाष बिल्डींग बापुराव जगताप रोड भायखळा (प)" ,93
BoothVoterList_A4_Ward_212_Booth_10.pdf,39,"यादी भाग क्र. 948  : 94 - हिल्टन रेसिडन्सी, बापुराव जगताप मार्ग, मुंबई," ,92
BoothVoterList_A4_Ward_212_Booth_10.pdf,40,"यादी भाग क्र. १५४  : १ -म्यु.घ.नं.७७४ - ७८० दुभाष बिल्डींग बापुराव जगताप रोड भायखळा (प)" ,93
BoothVoterList_A4_Ward_212_Booth_10.pdf,41,"यादी भाग क्र. 948  : 94 - हिल्टन रेसिडन्सी, बापुराव जगताप मार्ग, मुंबई," ,92
BoothVoterList_A4_Ward_212_Booth_10.pdf,42,"यादी भाग क्र. १५४  : ८ -म्यु.घ.नं. ८०६ -८०८, रमझान बिल्डींग,बापुराव जगताप रोड," ,92
BoothVoterList_A4_Ward_212_Booth_10.pdf,43,"यादी भाग क्र. १५४  : १ -म्यु.घ.नं.७७४ - ७८० दुभाष बिल्डींग बापुराव जगताप रोड भायखळा (प)" ,93
BoothVoterList_A4_Ward_212_Booth_10.pdf,44,"यादी भाग क्र. 948  : 94 - हिल्टन रेसिडन्सी, बापुराव जगताप मार्ग, मुंबई," ,92
BoothVoterList_A4_Ward_212_Booth_10.pdf,45,"यादी भाग क्र. १५४  : १ -म्यु.घ.नं.७७४ - ७८० दुभाष बिल्डींग बापुराव जगताप रोड भायखळा (प)" ,93
BoothVoterList_A4_Ward_212_Booth_10.pdf,46,"यादी भाग क्र. 948  : 94 - हिल्टन रेसिडन्सी, बापुराव जगताप मार्ग, मुंबई," ,92
BoothVoterList_A4_Ward_212_Booth_10.pdf,47,"यादी भाग क्र. १५४  : ८ -म्यु.घ.नं. ८०६ -८०८, रमझान बिल्डींग,बापुराव जगताप रोड," ,92
BoothVoterList_A4_Ward_212_Booth_10.pdf,48,"यादी भाग क्र. १५४  : १ -म्यु.घ.नं.७७४ - ७८० दुभाष बिल्डींग बापुराव जगताप रोड भायखळा (प)" ,93
BoothVoterList_A4_Ward_212_Booth_10.pdf,49,"यादी भाग क्र. 948  : 94 - हिल्टन रेसिडन्सी, बापुराव जगताप मार्ग, मुंबई," ,92
BoothVoterList_A4_Ward_212_Booth_10.pdf,50,"यादी भाग क्र. १५४  : ८ -म्यु.घ.नं. ८०६ -८०८, रमझान बिल्डींग,बापुराव जगताप रोड," ,92
BoothVoterList_A4_Ward_212_Booth_11.pdf,2,"यादी भाग क्र. १३७  : १ -स्वीपर्स क्वाटर्स- सर्वोदय नगर, फारुख एस. उमरभाई पथ," ,89
BoothVoterList_A4_Ward_212_Booth_11.pdf,4,"यादी भाग क्र. 930  : २ - स्वीपर्स क्वाटर्स जवळील झोपडया, ९८ -सर्वोदय नगर, फारुख एस.उमरभाई" ,82
BoothVoterList_A4_Ward_212_Booth_11.pdf,5,"यादी भाग क्र. 93  : 3 - म्यु.घ .नं.८, रतन हाऊस, फारुख एस.उमरभाई पथ," ,86
BoothVoterList_A4_Ward_212_Booth_11.pdf,9,"यादी भाग क्र. 930  : ११ - एम्पायर सॉलिटेअर, फारुक उमरभाई रोड, आग्रीपाडा, मुंबई-४०००११" ,88
BoothVoterList_A4_Ward_212_Booth_11.pdf,10,"यादी भाग क्र. १३७  : १ -स्वीपर्स क्वाटर्स- सर्वोदय नगर, फारुख एस. उमरभाई पथ," ,89
BoothVoterList_A4_Ward_212_Booth_11.pdf,11,"यादी भाग क्र. 93  : 3 - म्यु.घ .नं.८, रतन हाऊस, फारुख एस.उमरभाई पथ," ,86
BoothVoterList_A4_Ward_212_Booth_11.pdf,12,"यादी भाग क्र. 930  : २ - स्वीपर्स क्वाटर्स जवळील झोपडया, ९८ -सर्वोदय नगर, फारुख एस.उमरभाई" ,82
BoothVoterList_A4_Ward_212_Booth_11.pdf,13,"यादी भाग क्र. 93  : 3 - म्यु.घ .नं.८, रतन हाऊस, फारुख एस.उमरभाई पथ," ,86
BoothVoterList_A4_Ward_212_Booth_11.pdf,14,"यादी भाग क्र. १३७  : १ -स्वीपर्स क्वाटर्स- सर्वोदय नगर, फारुख एस. उमरभाई पथ," ,89
BoothVoterList_A4_Ward_212_Booth_11.pdf,15,"यादी भाग क्र. 93  : 3 - म्यु.घ .नं.८, रतन हाऊस, फारुख एस.उमरभाई पथ," ,86
